ELF Code,Country of formation,Country Code (ISO 3166-1),Jurisdiction of formation,Country sub-division code (ISO 3166-2),jurisdiction_code,Entity Legal Form name Local name,Language,Language Code (ISO 639-1),Entity Legal Form name Transliterated name (per ISO 01-140-10),Abbreviations Local language,Abbreviations transliterated,Date created YYYY-MM-DD (ISO 8601),ELF Status ACTV/INAC,Modification,Modification date YYYY-MM-DD (ISO 8601),Reason,Notes
8888,,,,,,,,,,,,11/30/17,ACTV,,,to be used when a new ELF Code (for a legal form not yet on the list) is requested from GLEIF for a jurisdiction which is on the list,
9999,,,,,,,,,,,,11/30/17,ACTV,,,to be used for LEIs from a jurisdiction which is not on the list yet,
CDOV,Antigua and Barbuda,AG,,,ag,International Business Corporation,English,en,International Business Corporation,,,11/30/17,ACTV,,,,
,,AL,,,al,Shoqëri Aksionere,Albanian,sq,Shoqëri Aksionere,Sh.A.;sh.a.;sha,,,,,,,
,,AL,,,al,Shoqëri me përgjegjësi të kufizuar,Albanian,sq,Shoqëri me përgjegjësi të kufizuar,Sh.p.k.;sh.p.k.;shpk,,,,,,,
,,AL,,,al,Shoqëri komandite,Albanian,sq,Shoqëri komandite,,,,,,,,
,,AL,,,al,Shoqëri kolektive,Albanian,sq,Shoqëri kolektive,,,,,,,,
,,AR,,,ar,Sociedades de Acciones Simplificadas,Spanish,es,Sociedades de Acciones Simplificadas,S.A.S,,,,,,,corporation
,,AR,,,ar,Sociedad Anónima,Spanish,es,Sociedad Anónima,S.A.,,,,,,,≈ plc (UK)
,,AR,,,ar,Sociedad de Responsabilidad Limitada,Spanish,es,Sociedad de Responsabilidad Limitada,S.R.L.,,,,,,,≈ Ltd. (UK): ≈ limited liability company (USA)
,,AR,,,ar,Sociedad en Comandita Simple,Spanish,es,Sociedad en Comandita Simple,S.C.S.,,,,,,,≈ limited partnership
,,AR,,,ar,Sociedad en Comandita por Acciones,Spanish,es,Sociedad en Comandita por Acciones,S.C.p.A.,,,,,,,limited partnership with shares
,,AR,,,ar,Sociedad Colectiva,Spanish,es,Sociedad Colectiva,Soc.Col.,,,,,,,≈ general partnership (USA)
,,AR,,,ar,Sociedad de Capital e Industria,Spanish,es,Sociedad de Capital e Industria,S.C.e I.,,,,,,,
,,AR,,,ar,Sociedad del Estado,Spanish,es,Sociedad del Estado,S.E.,,,,,,,≈ state-owned enterprise
,,AR,,,ar,Sociedad de Garantía Reciproca,Spanish,es,Sociedad de Garantía Reciproca,S.G.R.,,,,,,,
CRL9,Aruba,AW,,,aw,Stichting,Dutch,nl,Stichting,,,11/30/17,ACTV,,,,
CYW2,Aruba,AW,,,aw,Vennootschap onder firma,Dutch,nl,Vennootschap onder firma,VOF;vof;V.O.F.;v.o.f.,,11/30/17,ACTV,,,,
GAJN,Aruba,AW,,,aw,Commanditaire vennootschap (1),Dutch,nl,Commanditaire vennootschap (1),,,11/30/17,ACTV,,,,
M27U,Aruba,AW,,,aw,Besloten vennootschap,Dutch,nl,Besloten vennootschap,BV;bv;B.V.;b.v.,,11/30/17,ACTV,,,,
OLAI,Aruba,AW,,,aw,Vereniging,Dutch,nl,Vereniging,,,11/30/17,ACTV,,,,
P65N,Aruba,AW,,,aw,Naamloze vennootschap,Dutch,nl,Naamloze vennootschap,NV;nv;N.V.;n.v.,,11/30/17,ACTV,,,,
PCRJ,Aruba,AW,,,aw,Cooperatieve vereniging,Dutch,nl,Cooperatieve vereniging,,,11/30/17,ACTV,,,,
PT6C,Aruba,AW,,,aw,Eenmanszaak,Dutch,nl,Eenmanszaak,,,11/30/17,ACTV,,,,
REUP,Aruba,AW,,,aw,Aruba vrijgestelde vennootschap,Dutch,nl,Aruba vrijgestelde vennootschap,AVV;avv;A.V.V.;a.v.v.,,11/30/17,ACTV,,,,
T5RL,Aruba,AW,,,aw,Vennootschap buitenlands recht,Dutch,nl,Vennootschap buitenlands recht,,,11/30/17,ACTV,,,,
UV8T,Aruba,AW,,,aw,Maatschap,Dutch,nl,Maatschap,,,11/30/17,ACTV,,,,
V905,Aruba,AW,,,aw,Vennootschap met beperkte aansprakelijkheid,Dutch,nl,Vennootschap met beperkte aansprakelijkheid,VBA;vba;V.B.A.;v.b.a.,,11/30/17,ACTV,,,,
YCV2,Aruba,AW,,,aw,Commanditaire vennootschap (1+),Dutch,nl,Commanditaire vennootschap (1+),,,11/30/17,ACTV,,,,
6W6X,Australia,AU,,,au,Co-operative,English,en,Co-operative,Co-operative Limited;Cooperative Limited;Co-op Limited;Coop Limited;Co-operative Ltd.;Cooperative Ltd.;Co-opLtd.;Coop Ltd.;Co-operative;Cooperative;Co-op;Coop,,11/30/17,ACTV,,,,
BC38,Australia,AU,,,au,Incorporated association,English,en,Incorporated association,Inc;inc;Inc.;inc.;Incorporated,,11/30/17,ACTV,,,,
J4JC,Australia,AU,,,au,Limited Partnership,English,en,Limited Partnership,Incorporated Limited Partnership;LP;LP.;Lp.;Lp;I.L.P;ILP,,11/30/17,ACTV,,,,
LZFR,Australia,AU,,,au,Public Company limited by guarantee,English,en,Public Company limited by guarantee,Ltd;Ltd.;Limited,,11/30/17,ACTV,,,,
PQHL,Australia,AU,,,au,No Liability Company,English,en,No Liability Company,No Liability;NL;nl,,11/30/17,ACTV,,,,
Q82Q,Australia,AU,,,au,Unlimited Proprietary Company,English,en,Unlimited Proprietary Company,Proprietary;PTY;PTY.;Pty.;Pty Ltd;Pty. Ltd.;PTY LIMITED;Pty Limited;Unlimited Proprietary,,11/30/17,ACTV,,,,
R4KK,Australia,AU,,,au,Public Company limited by shares,English,en,Public Company limited by shares,Ltd;Ltd.;Limited,,11/30/17,ACTV,,,,
TXVC,Australia,AU,,,au,Limited Proprietary Company,English,en,Limited Proprietary Company,Proprietary Limited;Proprietary Ltd;Pty Limited;PTY LTD;PTY. LTD.;Pty. Ltd.;Pty Ltd;Pty Ltd.;Proprietary Limited Company,,11/30/17,ACTV,,,,
XHCV,Australia,AU,,,au,Indigenous Corporation,English,en,Indigenous Corporation,Indigenous corporation;RNTBC,,11/30/17,ACTV,,,,
,,AU,,,au,Limited liability partnership,English,en,Limited liability partnership,LLP;L.L.P.,,,,,,,
1NOX,Austria,AT,,,at,Sonstiger Rechtsträger,German,de,Sonstiger Rechtsträger,,,11/30/17,ACTV,,,,
5WWO,Austria,AT,,,at,Privatstiftung,German,de,Privatstiftung,,,11/30/17,ACTV,,,,≈ private foundation
69H1,Austria,AT,,,at,Europäische Genossenschaft (SCE),German,de,Europäische Genossenschaft (SCE),SCE,,11/30/17,ACTV,,,,
8XDW,Austria,AT,,,at,Genossenschaft,German,de,Genossenschaft,,,7/5/19,ACTV,,,,≈ cooperative
AAL7,Austria,AT,,,at,Kommandit-Erwerbsgesellschaft,German,de,Kommandit-Erwerbsgesellschaft,KEG;Kommanditerwerbsgesellschaft,,11/30/17,ACTV,,,,small limited partnership
AXSB,Austria,AT,,,at,Gesellschaft mit beschränkter Haftung,German,de,Gesellschaft mit beschränkter Haftung,GmbH;Ges.m.b.H.;GesmbH;Ges.mbH;Gesellschaft mbH;Gesellschaft mbH.;Gesellschaft m.b.H.;,,11/30/17,ACTV,,,,"≈ Ltd. (UK). Minimum capital €35,000."
CAQ1,Austria,AT,,,at,Versicherungsverein auf Gegenseitigkeit,German,de,Versicherungsverein auf Gegenseitigkeit,,,11/30/17,ACTV,,,,
DM88,Austria,AT,,,at,Europäische wirtschaftliche Interessenvereinigung,German,de,Europäische wirtschaftliche Interessenvereinigung,,,11/30/17,ACTV,,,,
DX6Z,Austria,AT,,,at,Verein,German,de,Verein,,,7/5/19,ACTV,,,,≈ nonprofit association
ECWU,Austria,AT,,,at,Eingetragenes Einzelunternehmen,German,de,eingetragenes Einzelunternehmen,e.U.;e.u.;EU;E.U.,,11/30/17,ACTV,,,,"≈ sole trader (UK), sole proprietorship (US)"
EQOV,Austria,AT,,,at,Aktiengesellschaft,German,de,Aktiengesellschaft,AG,,11/30/17,ACTV,,,,"≈ plc (UK). Minimum capital €70,000."
G3R6,Austria,AT,,,at,Einzelkaufmann,German,de,Einzelkaufmann,,,11/30/17,ACTV,,,,
GVPD,Austria,AT,,,at,Offene Handelsgesellschaft,German,de,Offene Handelsgesellschaft,OHG,,11/30/17,ACTV,,,,
JJYT,Austria,AT,,,at,Körperschaft öffentlichen Rechts,German,de,Körperschaft öffentlichen Rechts,,,7/5/19,ACTV,,,,
JQOI,Austria,AT,,,at,Sparkasse,German,de,Sparkasse,,,11/30/17,ACTV,,,,
JTAV,Austria,AT,,,at,Offene Gesellschaft,German,de,Offene Gesellschaft,OG,,11/30/17,ACTV,,,,≈ general partnership
JUHG,Austria,AT,,,at,Offene Erwerbsgesellschaft,German,de,Offene Erwerbsgesellschaft,OEG,,11/30/17,ACTV,,,,small general partnership
NIJH,Austria,AT,,,at,Erwerbs- und Wirtschaftsgenossenschaft,German,de,Erwerbs- und Wirtschaftsgenossenschaft,,,11/30/17,ACTV,,,,
NNLI,Austria,AT,,,at,stille Gesellschaft,German,de,stille Gesellschaft,stGes;stG,,7/5/19,ACTV,,,,"≈ partnership by estoppel (i.e., no partnership agreement)"
O65B,Austria,AT,,,at,Europäische Gesellschaft (SE),German,de,Europäische Gesellschaft (SE),SE,,11/30/17,ACTV,,,,Societas Europaea
ONF1,Austria,AT,,,at,Kommanditgesellschaft,German,de,Kommanditgesellschaft,KG;GmbH & Co. KG,,11/30/17,ACTV,,,,≈ limited partnership
UI81,Austria,AT,,,at,Gesellschaft des bürgerlichen Rechts,German,de,Gesellschaft bürgerlichen Rechts,GesbR,,7/5/19,ACTV,,,,"≈ partnership by contract (i.e., formed by partnership agreement); statutes and regulations concerning Austrian companies, especially with regards to the companies register (Firmenbuch), do not apply."
1TX8,Belgium,BE,,,be,Commanditaire vennootschap op aandelen met een sociaal oogmerk,Dutch,nl,Commanditaire vennootschap op aandelen met een sociaal oogmerk,CVA SO,,11/30/17,ACTV,legislation change,7/5/19,"after 1 May 2019, this legal form is no longer used for new entities; it still exists for entities established before that date",
1TX8,Belgium,BE,,,be,Société en commandite par actions à finalité sociale,French,fr,Société en commandite par actions à finalité sociale,SCA FS,,11/30/17,ACTV,legislation change,7/5/19,"after 1 May 2019, this legal form is no longer used for new entities; it still exists for entities established before that date",
1TX8,Belgium,BE,,,be,Kommanditgesellschaft auf Aktien mit sozialer Zielsetzung,German,de,Kommanditgesellschaft auf Aktien mit sozialer Zielsetzung,KGaAmsZ,,11/30/17,ACTV,legislation change,7/5/19,"after 1 May 2019, this legal form is no longer used for new entities; it still exists for entities established before that date",
28FE,Belgium,BE,,,be,Coöperatieve vennootschap,Dutch,nl,Coöperatieve vennootschap,CV,,7/5/19,ACTV,,,new legal form per 1 May 2019,
28FE,Belgium,BE,,,be,Société coopérative,French,fr,Société coopérative,SC,,7/5/19,ACTV,,,new legal form per 1 May 2019,
28FE,Belgium,BE,,,be,Genossenschaft,German,de,Genossenschaft,Gen.,,7/5/19,ACTV,,,new legal form per 1 May 2019,
2QSA,Belgium,BE,,,be,Coöperatieve vennootschap met beperkte aansprakelijkheid met een sociaal oogmerk,Dutch,nl,Coöperatieve vennootschap met beperkte aansprakelijkheid met een sociaal oogmerk,CVBA SO,,11/30/17,ACTV,legislation change,7/5/19,"after 1 May 2019, this legal form is no longer used for new entities; it still exists for entities established before that date",
2QSA,Belgium,BE,,,be,Société coopérative à responsabilité limitée à finalité sociale,French,fr,Société coopérative à responsabilité limitée à finalité sociale,SCRL FS,,11/30/17,ACTV,legislation change,7/5/19,"after 1 May 2019, this legal form is no longer used for new entities; it still exists for entities established before that date",
2QSA,Belgium,BE,,,be,Genossenschaft mit beschränkter Haftung mit sozialer Zielsetzung,German,de,Genossenschaft mit beschränkter Haftung mit sozialer Zielsetzung,GbHsZ,,11/30/17,ACTV,legislation change,7/5/19,"after 1 May 2019, this legal form is no longer used for new entities; it still exists for entities established before that date",
36KV,Belgium,BE,,,be,Europese vennootschap (Societas Europaea),Dutch,nl,Europese vennootschap (Societas Europaea),SE,,11/30/17,ACTV,,,,
36KV,Belgium,BE,,,be,Société européenne (Societas Europaea),French,fr,Société européenne (Societas Europaea),SE,,11/30/17,ACTV,,,,
36KV,Belgium,BE,,,be,Europäische Gesellschaft (Societas Europaea),German,de,Europäische Gesellschaft (Societas Europaea),SE,,11/30/17,ACTV,,,,
3LMA,Belgium,BE,,,be,Buitenlandse onderneming,Dutch,nl,Buitenlandse onderneming,BO,,11/30/17,ACTV,,,,
3LMA,Belgium,BE,,,be,Entreprise étrangère,French,fr,Entreprise étrangère,ENT E,,11/30/17,ACTV,,,,
3LMA,Belgium,BE,,,be,Ausländische Gesellschaft,German,de,Ausländische Gesellschaft,AGes.,,11/30/17,ACTV,,,,
3N94,Belgium,BE,,,be,Onderneming-natuurlijk persoon,Dutch,nl,Onderneming-natuurlijk persoon,ONP,,11/30/17,ACTV,,,,
3N94,Belgium,BE,,,be,Entreprise personne physique,French,fr,Entreprise personne physique,EPP,,11/30/17,ACTV,,,,
3N94,Belgium,BE,,,be,Unternehmen natürliche Person,German,de,Unternehmen natürliche Person,UNP,,11/30/17,ACTV,,,,
3W7E,Belgium,BE,,,be,Besloten Vennootschap,Dutch,nl,Besloten Vennootschap,BV,,7/5/19,ACTV,,,new legal form per 1 May 2019,
3W7E,Belgium,BE,,,be,Société à responsabilité limitée,French,fr,Société à responsabilité limitée,SRL,,7/5/19,ACTV,,,new legal form per 1 May 2019,
3W7E,Belgium,BE,,,be,Gesellschaft mit beschränkter Haftung,German,de,Gesellschaft mit beschränkter Haftung,GmbH,,7/5/19,ACTV,,,new legal form per 1 May 2019,
4E5P,Belgium,BE,,,be,Coöperatieve vennootschap met onbeperkte aansprakelijkheid met een sociaal oogmerk,Dutch,nl,Coöperatieve vennootschap met onbeperkte aansprakelijkheid met een sociaal oogmerk,CVOA SO,,11/30/17,ACTV,legislation change,7/5/19,"after 1 May 2019, this legal form is no longer used for new entities; it still exists for entities established before that date",
4E5P,Belgium,BE,,,be,Société coopérative à responsabilité illimitée à finalité sociale,French,fr,Société coopérative à responsabilité illimitée à finalité sociale,SCRI FS,,11/30/17,ACTV,legislation change,7/5/19,"after 1 May 2019, this legal form is no longer used for new entities; it still exists for entities established before that date",
4E5P,Belgium,BE,,,be,Genossenschaft mit unbeschränkter Haftung mit sozialer Zielsetzung,German,de,Genossenschaft mit unbeschränkter Haftung mit sozialer Zielsetzung,GuHsZ,,11/30/17,ACTV,legislation change,7/5/19,"after 1 May 2019, this legal form is no longer used for new entities; it still exists for entities established before that date",
7SJP,Belgium,BE,,,be,Europees economisch samenwerkingsverband,Dutch,nl,Europees economisch samenwerkingsverband,EESV,,11/30/17,ACTV,,,,
7SJP,Belgium,BE,,,be,Groupement européen d'intérêt économique,French,fr,Groupement européen d'intérêt économique,GEIE,,11/30/17,ACTV,,,,
7SJP,Belgium,BE,,,be,Europäische wirtschaftliche Interessenvereinigung,German,de,Europäische wirtschaftliche Interessenvereinigung,EWIV,,11/30/17,ACTV,,,,
8E2A,Belgium,BE,,,be,Coöperatieve vennootschap met beperkte aansprakelijkheid,Dutch,nl,Coöperatieve vennootschap met beperkte aansprakelijkheid,CVBA,,11/30/17,ACTV,legislation change,7/5/19,"after 1 May 2019, this legal form is no longer used for new entities; it still exists for entities established before that date",
8E2A,Belgium,BE,,,be,Société coopérative à responsabilité limitée,French,fr,Société coopérative à responsabilité limitée,SCRL,,11/30/17,ACTV,legislation change,7/5/19,"after 1 May 2019, this legal form is no longer used for new entities; it still exists for entities established before that date",
8E2A,Belgium,BE,,,be,Genossenschaft mit beschränkter Haftung,German,de,Genossenschaft mit beschränkter Haftung,Gen.mbH,,11/30/17,ACTV,legislation change,7/5/19,"after 1 May 2019, this legal form is no longer used for new entities; it still exists for entities established before that date",
8YLB,Belgium,BE,,,be,Instelling zonder winstoogmerk,Dutch,nl,Instelling zonder winstoogmerk,IZW,,11/30/17,ACTV,,,,
8YLB,Belgium,BE,,,be,Institution sans but lucratif,French,fr,Institution sans but lucratif,ISBL,,11/30/17,ACTV,,,,
8YLB,Belgium,BE,,,be,Einrichtung ohne Gewinnerzielungsabsicht,German,de,Einrichtung ohne Gewinnerzielungsabsicht,EoG,,11/30/17,ACTV,,,,
B910,Belgium,BE,,,be,Vennootschap onder firma met een sociaal oogmerk,Dutch,nl,Vennootschap onder firma met een sociaal oogmerk,VOF SO,,11/30/17,ACTV,legislation change,7/5/19,"after 1 May 2019, this legal form is no longer used for new entities; it still exists for entities established before that date",
B910,Belgium,BE,,,be,Société en nom collectif à finalité sociale,French,fr,Société en nom collectif à finalité sociale,SNC FS,,11/30/17,ACTV,legislation change,7/5/19,"after 1 May 2019, this legal form is no longer used for new entities; it still exists for entities established before that date",
B910,Belgium,BE,,,be,Offene Handelsgesellschaft mit sozialer Zielsetzung,German,de,Offene Handelsgesellschaft mit sozialer Zielsetzung,OHGmsZ,,11/30/17,ACTV,legislation change,7/5/19,"after 1 May 2019, this legal form is no longer used for new entities; it still exists for entities established before that date",
C609,Belgium,BE,,,be,Eenpersoons besloten vennootschap met beperkte aansprakelijkheid,Dutch,nl,Eenpersoons besloten vennootschap met beperkte aansprakelijkheid,EBVBA,,11/30/17,ACTV,,,,
C609,Belgium,BE,,,be,Société privée à responsabilité limitée unipersonnelle,French,fr,Société privée à responsabilité limitée unipersonnelle,SPRLU,,11/30/17,ACTV,,,,
C609,Belgium,BE,,,be,Privatgesellschaft mit beschränkter Haftung mit einem Alleingesellschafter,German,de,Privatgesellschaft mit beschränkter Haftung mit einem Alleingesellschafter,PGmbHmA,,11/30/17,ACTV,,,,
CFH5,Belgium,BE,,,be,Vennootschap of vereniging zonder rechtspersoonlijkheid,Dutch,nl,Vennootschap of vereniging zonder rechtspersoonlijkheid,VVZRL,,11/30/17,ACTV,,,,
CFH5,Belgium,BE,,,be,Société ou association sans personnalité juridique,French,fr,Société ou association sans personnalité juridique,SASPJ,,11/30/17,ACTV,,,,
CFH5,Belgium,BE,,,be,Gesellschaften oder Vereinigungen ohne Rechtspersönlichkeit,German,de,Gesellschaften oder Vereinigungen ohne Rechtspersönlichkeit,GVoRP,,11/30/17,ACTV,,,,
EDMK,Belgium,BE,,,be,Vereniging zonder winstoogmerk van publiek recht,Dutch,nl,Vereniging zonder winstoogmerk van publiek recht,VZW PR,,11/30/17,ACTV,,,,
EDMK,Belgium,BE,,,be,Association sans but lucratif de droit public,French,fr,Association sans but lucratif de droit public,ASBL DPU,,11/30/17,ACTV,,,,
EDMK,Belgium,BE,,,be,Öffentlich-rechtliche Vereinigung ohne Gewinnerzielungsabsicht,German,de,Öffentlich-rechtliche Vereinigung ohne Gewinnerzielungsabsicht,ÖrVohGza,,11/30/17,ACTV,,,,
EXY8,Belgium,BE,,,be,"Coöperatieve vennootschap met onbeperkte aansprakelijkheid, bij wijze van deelneming van publiek recht",Dutch,nl,"Coöperatieve vennootschap met onbeperkte aansprakelijkheid, bij wijze van deelneming van publiek recht",CVOA CD,,11/30/17,ACTV,,,,
EXY8,Belgium,BE,,,be,"Coopérative à responsabilité illimitée, coopérative de participation, de droit public",French,fr,"Coopérative à responsabilité illimitée, coopérative de participation, de droit public",SCRI CP,,11/30/17,ACTV,,,,
EXY8,Belgium,BE,,,be,"Öffentlich-rechtliche Genossenschaft mit unbeschränkter Haftung, Genossenschaft auf Beteiligung",German,de,"Öffentlich-rechtliche Genossenschaft mit unbeschränkter Haftung, Genossenschaft auf Beteiligung",GmuHGB,,11/30/17,ACTV,,,,
J5OU,Belgium,BE,,,be,Economisch samenwerkingsverband,Dutch,nl,Economisch samenwerkingsverband,ESV,,11/30/17,ACTV,,,,
J5OU,Belgium,BE,,,be,Groupement d'intérêt économique,French,fr,Groupement d'intérêt économique,GIE,,11/30/17,ACTV,,,,
J5OU,Belgium,BE,,,be,Wirtschaftliche Interessenvereinigung,German,de,Wirtschaftliche Interessenvereinigung,WIV,,11/30/17,ACTV,,,,
JAM3,Belgium,BE,,,be,Coöperatieve vennootschap van publiek recht,Dutch,nl,Coöperatieve vennootschap van publiek recht,CV PR,,7/5/19,ACTV,,,new legal form per 1 May 2019,
JAM3,Belgium,BE,,,be,Société coopérative de droit public,French,fr,Société coopérative de droit public,SC DPU,,7/5/19,ACTV,,,new legal form per 1 May 2019,
JAM3,Belgium,BE,,,be,Öffentlich-rechtliche Genossenschaft,German,de,Öffentlich-rechtliche Genossenschaft,ÖrGen.,,7/5/19,ACTV,,,new legal form per 1 May 2019,
JNAD,Belgium,BE,,,be,Besloten vennootschap met beperkte aansprakelijkheid met een sociaal oogmerk,Dutch,nl,Besloten vennootschap met beperkte aansprakelijkheid met een sociaal oogmerk,BVBA SO,,11/30/17,ACTV,legislation change,7/5/19,"after 1 May 2019, this legal form is no longer used for new entities; it still exists for entities established before that date",
JNAD,Belgium,BE,,,be,Société privée à responsabilité limitée à finalité sociale,French,fr,Société privée à responsabilité limitée à finalité sociale,SPRL FS,,11/30/17,ACTV,legislation change,7/5/19,"after 1 May 2019, this legal form is no longer used for new entities; it still exists for entities established before that date",
JNAD,Belgium,BE,,,be,Privatgesellschaft mit beschränkter Haftung mit sozialer Zielsetzung,German,de,Privatgesellschaft mit beschränkter Haftung mit sozialer Zielsetzung,PmbHsZ,,11/30/17,ACTV,legislation change,7/5/19,"after 1 May 2019, this legal form is no longer used for new entities; it still exists for entities established before that date",
KLBO,Belgium,BE,,,be,Burgerlijke vennootschap onder vorm van commanditaire vennootschap op aandelen,Dutch,nl,Burgerlijke vennootschap onder vorm van commanditaire vennootschap op aandelen,BV CVA,,11/30/17,INAC,legislation change,11/1/18,per 1 Nov 2018 legal form abolished and automatically transformed into legal form U2PN,
KLBO,Belgium,BE,,,be,Société civile sous forme de société en commandite par actions,French,fr,Société civile sous forme de société en commandite par actions,SC SCA,,11/30/17,INAC,legislation change,11/1/18,per 1 Nov 2018 legal form abolished and automatically transformed into legal form U2PN,
KLBO,Belgium,BE,,,be,Zivilrechtliche Gesellschaft in der Rechtsform einer Kommanditgesellschaft auf Aktien,German,de,Zivilrechtliche Gesellschaft in der Rechtsform einer Kommanditgesellschaft auf Aktien,ZRG KGaA,,11/30/17,INAC,legislation change,11/1/18,per 1 Nov 2018 legal form abolished and automatically transformed into legal form U2PN,
KM6O,Belgium,BE,,,be,Maatschap,Dutch,nl,Maatschap,MS,,11/30/17,ACTV,,,,
KM6O,Belgium,BE,,,be,Société de droit commun,French,fr,Société de droit commun,SDC,,11/30/17,ACTV,,,,
KM6O,Belgium,BE,,,be,Gesellschaft des allgemeinen Rechts,German,de,Gesellschaft des allgemeinen Rechts,GaR,,11/30/17,ACTV,,,,
L05H,Belgium,BE,,,be,Besloten Vennootschap van publiek recht,Dutch,nl,Besloten Vennootschap van publiek recht,BV PR,,7/5/19,ACTV,,,new legal form per 1 May 2019,
L05H,Belgium,BE,,,be,Société à responsabilité limitée de droit public,French,fr,Société à responsabilité limitée de droit public,SRL DPU,,7/5/19,ACTV,,,new legal form per 1 May 2019,
L05H,Belgium,BE,,,be,Öffentlich-rechtliche Gesellschaft mit beschränkter Haftung,German,de,Öffentlich-rechtliche Gesellschaft mit beschränkter Haftung,ÖrGmbH,,7/5/19,ACTV,,,new legal form per 1 May 2019,
LWHF,Belgium,BE,,,be,Coöperatieve vennootschap met onbeperkte aansprakelijkheid,Dutch,nl,Coöperatieve vennootschap met onbeperkte aansprakelijkheid,CVOA,,11/30/17,ACTV,,,,
LWHF,Belgium,BE,,,be,Société coopérative à responsabilité illimitée,French,fr,Société coopérative à responsabilité illimitée,SCRI,,11/30/17,ACTV,,,,
LWHF,Belgium,BE,,,be,Genossenschaft mit unbeschränkter Haftung,German,de,Genossenschaft mit unbeschränkter Haftung,Gen.mubH,,11/30/17,ACTV,,,,
LWV6,Belgium,BE,,,be,Gewone commanditaire vennootschap,Dutch,nl,Gewone commanditaire vennootschap,Comm.V,,11/30/17,ACTV,,,,
LWV6,Belgium,BE,,,be,Société en commandite simple,French,fr,Société en commandite simple,SCS,,11/30/17,ACTV,,,,
LWV6,Belgium,BE,,,be,Einfache Kommanditgesellschaft,German,de,Einfache Kommanditgesellschaft,EKG,,11/30/17,ACTV,,,,
MQH3,Belgium,BE,,,be,Commanditaire vennootschap,Dutch,nl,Commanditaire vennootschap,CommV,,7/5/19,ACTV,,,new legal form per 1 May 2019,
MQH3,Belgium,BE,,,be,Société en commandite,French,fr,Société en commandite,SComm,,7/5/19,ACTV,,,new legal form per 1 May 2019,
MQH3,Belgium,BE,,,be,Kommanditgesellschaft,German,de,Kommanditgesellschaft,KommG,,7/5/19,ACTV,,,new legal form per 1 May 2019,
N5NT,Belgium,BE,,,be,Besloten vennootschap met beperkte aansprakelijkheid,Dutch,nl,Besloten vennootschap met beperkte aansprakelijkheid,BVBA,,11/30/17,ACTV,legislation change,7/5/19,"after 1 May 2019, this legal form is no longer used for new entities; it still exists for entities established before that date",
N5NT,Belgium,BE,,,be,Société privée à responsabilité limitée,French,fr,Société privée à responsabilité limitée,SPRL,,11/30/17,ACTV,legislation change,7/5/19,"after 1 May 2019, this legal form is no longer used for new entities; it still exists for entities established before that date",
N5NT,Belgium,BE,,,be,Privatgesellschaft mit beschränkter Haftung,German,de,Privatgesellschaft mit beschränkter Haftung,PGmbH,,11/30/17,ACTV,legislation change,7/5/19,"after 1 May 2019, this legal form is no longer used for new entities; it still exists for entities established before that date",
O59C,Belgium,BE,,,be,Economisch samenwerkingsverband met een sociaal oogmerk,Dutch,nl,Economisch samenwerkingsverband met een sociaal oogmerk,ESV SO,,11/30/17,ACTV,legislation change,7/5/19,"after 1 May 2019, this legal form is no longer used for new entities; it still exists for entities established before that date",
O59C,Belgium,BE,,,be,Groupement d'intérêt économique à finalité sociale,French,fr,Groupement d'intérêt économique à finalité sociale,GIE FS,,11/30/17,ACTV,legislation change,7/5/19,"after 1 May 2019, this legal form is no longer used for new entities; it still exists for entities established before that date",
O59C,Belgium,BE,,,be,Wirtschaftliche Interessenvereinigung mit sozialer Zielsetzung,German,de,Wirtschaftliche Interessenvereinigung mit sozialer Zielsetzung,WIVmsZ,,11/30/17,ACTV,legislation change,7/5/19,"after 1 May 2019, this legal form is no longer used for new entities; it still exists for entities established before that date",
O5HQ,Belgium,BE,,,be,Burgerlijke vennootschap onder vorm van coöperatieve vennootschap met beperkte aansprakelijkheid,Dutch,nl,Burgerlijke vennootschap onder vorm van coöperatieve vennootschap met beperkte aansprakelijkheid,BV CVBA,,11/30/17,INAC,legislation change,11/1/18,per 1 Nov 2018 legal form abolished and automatically transformed into legal form 8E2A,
O5HQ,Belgium,BE,,,be,Société civile sous forme de société coopérative à responsabilité limitée,French,fr,Société civile sous forme de société coopérative à responsabilité limitée,SC SCRL,,11/30/17,INAC,legislation change,11/1/18,per 1 Nov 2018 legal form abolished and automatically transformed into legal form 8E2A,
O5HQ,Belgium,BE,,,be,Zivilrechtliche Gesellschaft in der Rechtsform einer Genossenschaft mit beschränkter Haftung,German,de,Zivilrechtliche Gesellschaft in der Rechtsform einer Genossenschaft mit beschränkter Haftung,ZvGGbH,,11/30/17,INAC,legislation change,11/1/18,per 1 Nov 2018 legal form abolished and automatically transformed into legal form 8E2A,
PVT3,Belgium,BE,,,be,Eenpersoons besloten vennootschap met beperkte aansprakelijkheid met een sociaal oogmerk,Dutch,nl,Eenpersoons besloten vennootschap met beperkte aansprakelijkheid met een sociaal oogmerk,EBVBA SO,,11/30/17,ACTV,legislation change,7/5/19,"after 1 May 2019, this legal form is no longer used for new entities; it still exists for entities established before that date",
